key	en	fr	pt-BR	es-MX	tr	notes
paywall.cta.start_trial	Start 3-Day Free Trial	[PENDING]	[PENDING]	[PENDING]	[PENDING]	CTA on onboarding + category paywalls. Keep bold; target one line on button.
paywall.weekly_trial_subtitle	3-day free trial, then %@	[PENDING]	[PENDING]	[PENDING]	[PENDING]	%@ = localized weekly price (e.g. $9.99/week). Weekly plan card subtitle only.
